role,skill,frequency_pct,count,total_jobs_in_role
"() Data Scientist - Bi & Planning, Shopee",Apache Spark,100.0,2,2
"() Data Scientist - Bi & Planning, Shopee",CI/CD,100.0,2,2
"() Data Scientist - Bi & Planning, Shopee",Fine-tuning,100.0,2,2
"() Data Scientist - Bi & Planning, Shopee",Machine Learning,100.0,2,2
"() Data Scientist - Bi & Planning, Shopee",Python,100.0,2,2
"() Data Scientist - Bi & Planning, Shopee",SQL,100.0,2,2
(Hn) Business Analyst Domain Hrm - Upto 30M,Jira,100.0,2,2
(Hn) Business Analyst Domain Hrm - Upto 30M,Power BI,100.0,2,2
(Vn 216) Phát Triển Phần Mềm Nhúng Matlab Simulink - Tiếng Nhật Lương Cao-Được Chọn Làm Tại Vn Hoặc Nhật Bản,MATLAB,100.0,1,1
+ Backend Developer Full-Time - Tại Hà Nội - Thu Nhập 12-18 Triệu,REST API,100.0,1,1
.Net,Angular,40.0,2,5
.Net,CSS,40.0,2,5
.Net,JavaScript,40.0,2,5
.Net,Next.js,40.0,2,5
.Net,Python,40.0,2,5
.Net,React,40.0,2,5
.Net,SQL,40.0,2,5
.Net,Vue.js,40.0,2,5
.Net ( /Techlead),Docker,100.0,1,1
.Net ( /Techlead),Kubernetes,100.0,1,1
.Net ( /Techlead),SQL,100.0,1,1
.Net + Angular Developer,Angular,100.0,1,1
".Net - Upto20Tr - Hoàng Mai, Hà Nội",Microservices,100.0,1,1
".Net - Upto20Tr - Hoàng Mai, Hà Nội",Next.js,100.0,1,1
".Net - Upto20Tr - Hoàng Mai, Hà Nội",PostgreSQL,100.0,1,1
".Net - Upto20Tr - Hoàng Mai, Hà Nội",React,100.0,1,1
".Net - Upto20Tr - Hoàng Mai, Hà Nội",Redis,100.0,1,1
.Net Developer (C#),C#,100.0,1,1
.Net Developer (C#),REST API,100.0,1,1
.Net Development Engineer Biết Tiếng Trung,ASP.NET,100.0,1,1
.Net Engineer (English Fluency),MongoDB,100.0,1,1
.Net Engineer (English Fluency),SQL,100.0,1,1
.Net/C# (Từ 2 Năm Kinh Nghiệm),Agile,100.0,1,1
.Net/C# (Từ 2 Năm Kinh Nghiệm),JavaScript,100.0,1,1
.Net/C# (Từ 2 Năm Kinh Nghiệm),Redis,100.0,1,1
.Net/C# (Từ 2 Năm Kinh Nghiệm),SQL,100.0,1,1
.Net/C# (Từ 2 Năm Kinh Nghiệm),Scrum,100.0,1,1
"10 Java Dev (Mvc, Spring, Oracle)",Java,100.0,2,2
2025 Aarc Data Science Analyst,Go,100.0,1,1
2025 Corporate Analyst Program - Proposal Analyst,Excel,100.0,1,1
2026-12- Pe Test Engineer,Python,100.0,2,2
216: Data Analyst Ii,Excel,100.0,1,1
216: Data Analyst Ii,Power BI,100.0,1,1
216: Data Analyst Ii,Python,100.0,1,1
216: Data Analyst Ii,R,100.0,1,1
216: Data Analyst Ii,SQL,100.0,1,1
216: Data Analyst Ii,Snowflake,100.0,1,1
AI Engineer,Python,64.29,18,28
AI Engineer,LLM,57.14,16,28
AI Engineer,RAG,57.14,16,28
AI Engineer,Computer Vision,50.0,14,28
AI Engineer,Machine Learning,42.86,12,28
AI Engineer,Prompt Engineering,35.71,10,28
AI Engineer,JavaScript,28.57,8,28
AI Engineer,AWS,21.43,6,28
AI Engineer,Agile,21.43,6,28
AI Engineer,Azure,21.43,6,28
AI Engineer,CSS,21.43,6,28
AI Engineer,Fine-tuning,21.43,6,28
AI Engineer,HTML,21.43,6,28
AI Engineer,PyTorch,21.43,6,28
AI Engineer,SQL,21.43,6,28
AI Engineer,Scrum,21.43,6,28
AI Engineer,Deep Learning,14.29,4,28
AI Engineer,Docker,14.29,4,28
AI Engineer,Java,14.29,4,28
AI Engineer,Scikit-learn,14.29,4,28
AI Engineer,System Design,14.29,4,28
AI Engineer,Angular,7.14,2,28
AI Engineer,Apache Spark,7.14,2,28
AI Engineer,C#,7.14,2,28
AI Engineer,CI/CD,7.14,2,28
AI Engineer,Cassandra,7.14,2,28
AI Engineer,Elasticsearch,7.14,2,28
AI Engineer,Excel,7.14,2,28
AI Engineer,Git,7.14,2,28
AI Engineer,Go,7.14,2,28
AI Engineer,Jira,7.14,2,28
AI Engineer,Kubernetes,7.14,2,28
AI Engineer,Microservices,7.14,2,28
AI Engineer,MongoDB,7.14,2,28
AI Engineer,Pandas,7.14,2,28
AI Engineer,PostgreSQL,7.14,2,28
AI Engineer,REST API,7.14,2,28
AI Engineer,React,7.14,2,28
AI Engineer,Scala,7.14,2,28
AI Engineer,TypeScript,7.14,2,28
Administrative Analyst (1820) - Multiple Departments Citywide (C00185),Power BI,100.0,1,1
Administrative Analyst (1820) - Multiple Departments Citywide (C00185),Tableau,100.0,1,1
Ai,CI/CD,100.0,2,2
Ai,Hugging Face,100.0,2,2
Ai,LLM,100.0,2,2
Ai,Machine Learning,100.0,2,2
Ai,Prompt Engineering,100.0,2,2
Ai,Python,100.0,2,2
Ai,RAG,100.0,2,2
Ai,Transformers,100.0,2,2
Ai & Automation,Machine Learning,100.0,3,3
Ai & Automation,PyTorch,100.0,3,3
Ai & Automation,Python,100.0,3,3
Ai & Automation,Selenium,100.0,3,3
Ai Analyst - /Sen,Agile,100.0,4,4
Ai Analyst - /Sen,LLM,100.0,4,4
Ai Analyst - /Sen,Machine Learning,100.0,4,4
Ai Analyst - /Sen,Power BI,100.0,4,4
Ai Analyst - /Sen,RAG,100.0,4,4
Ai Analyst - /Sen,Tableau,100.0,4,4
Ai Application Developer (2+ Years Of Experience) (Leave: Up To 18 Days/Year),LLM,100.0,1,1
Ai Application Full Stack Developer,AWS,100.0,2,2
Ai Application Full Stack Developer,Azure,100.0,2,2
Ai Application Full Stack Developer,CI/CD,100.0,2,2
Ai Application Full Stack Developer,Flask,100.0,2,2
Ai Application Full Stack Developer,Google Cloud Platform,100.0,2,2
Ai Application Full Stack Developer,JavaScript,100.0,2,2
Ai Application Full Stack Developer,MongoDB,100.0,2,2
Ai Application Full Stack Developer,MySQL,100.0,2,2
Ai Application Full Stack Developer,Next.js,100.0,2,2
Ai Application Full Stack Developer,PostgreSQL,100.0,2,2
Ai Application Full Stack Developer,Python,100.0,2,2
Ai Application Full Stack Developer,RAG,100.0,2,2
Ai Application Full Stack Developer,REST API,100.0,2,2
Ai Application Full Stack Developer,React,100.0,2,2
Ai Application Full Stack Developer,TypeScript,100.0,2,2
Ai Data Engineer,CI/CD,100.0,2,2
